resource_geoid,category,count
36005024502,food retail,3
36005026100,food retail,2
36005026300,food retail,5
36005031600,food retail,0
36005032400,food retail,1
36005032600,food retail,2
36047015400,food retail,0
36047030200,food retail,1
36047088400,food retail,7
36047030400,food retail,4
36047018200,food retail,4
36047038200,food retail,2
36047040200,food retail,3
36047045800,food retail,0
36085010500,food retail,6
36085023900,food retail,3
36005020000,food retail,11
36005028600,food retail,0
36005020502,food retail,2
36005040702,food retail,4
36005031800,food retail,0
36005035000,food retail,1
36005045800,food retail,1
36005046000,food retail,2
36061022900,food retail,13
36085002900,food retail,5
36085003300,food retail,1
